rec/id,record/id,date,description,document/no,company/name,part/number,item/description,unit/price,qty,availability,backorder,lost/sales,closed/qty,weighed/item,group,qenim,comment,expected/delivery,balance,company/id,third/code,priority/code,current/stock,prsypappsec,sales/orders,sales-back/order,branch/id,employee,supplier
911858,6,2025/01/10  ,BRAKE DISC,214604,(NEXT) COMLINE IRELAND LIMITED,ADC1801,EΠΙΧΡΙΣΜΕΝΗ ΔΙΣΚΟΠΛΑΚΑ ΕΜΠΡ. / ΟΠΙΣΘ. ALFA ROMEO-FIAT,7.97,4.00,0.0,4,0.0,0.0,0,,0,,,0.0,IE0209001,,FAST,82.00,616.00,4.0,4.0,1,161,TL
906539,19,2024/12/02  ,TUR STSUP,208211,(NEXT) COMLINE IRELAND LIMITED,CSL5000,ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. ΑΡΙΣΤΕΡΟ AUDI,4.64,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,SLOW,59.00,0.00,1.0,51.0,1,161,AH
910938,2,2025/01/03  ,NON EUR1 CALIPER,25010301,(NEXT) COMLINE IRELAND LIMITED,CBC050R,ΔΑΓΚΑΝA ΦΡΕΝΩΝ ΟΠΙΣΘ. ΔΕΞΙΑ PEUGEOT,43.28,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,V-SLOW,0.00,0.00,0.0,3.0,1,161,UR
911855,29,2025/01/10  ,CALIPER+CLUTCH+HYD+WBK,214601,(NEXT) COMLINE IRELAND LIMITED,CBC358R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ,19.98,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,SPECIAL,3.00,0.00,0.0,3.0,1,161,UR
910938,1,2025/01/03  ,NON EUR1 CALIPER,25010301,(NEXT) COMLINE IRELAND LIMITED,CBC050L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ PEUGEOT,43.28,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,SPECIAL,3.00,0.00,1.0,6.0,1,161,UR
911855,27,2025/01/10  ,CALIPER+CLUTCH+HYD+WBK,214601,(NEXT) COMLINE IRELAND LIMITED,CBC063R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΔΕΞΙΑ AUDI - SEAT - VW,22.3,7.00,0.0,5,0.0,2.0,0,,0,,,0.0,IE0209001,,SLOW,15.00,0.00,15.0,13.0,1,161,UR
906532,42,2024/12/02  ,BRAKE DISC,208204,(NEXT) COMLINE IRELAND LIMITED,ADC1454V,ΔΙΣΚΟΠΛΑΚΑ ΕΜΠΡΟΣΘ.AUDI-VW,9.94,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,,OBS,4.00,0.00,0.0,4.0,1,161,CAP
863868,88,2024/04/01  ,NON EUR1 - BRAKE DISC,156406,(NEXT) COMLINE IRELAND LIMITED,ADC2301V,ΔΙΣΚΟΠΛΑΚΑ ΕΜΠΡΟΣΘ.CHRYSLER,23.72,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,,OBS,0.00,0.00,0.0,4.0,1,161,CAP
879828,7,2024/06/18  ,BRAKE DISC,175602,(NEXT) COMLINE IRELAND LIMITED,ADC0616V,ΔΙΣΚΟΠΛΑΚΑ ΕΜΠΡΟΣΘ.DAIHATSU,13.07,4.00,0.0,4,0.0,0.0,0,,0,,,0.0,IE0209001,,OBS,0.00,0.00,0.0,4.0,1,161,SS
879828,84,2024/06/18  ,BRAKE DISC,175602,(NEXT) COMLINE IRELAND LIMITED,ADC1462V,ΔΙΣΚΟΠΛΑΚΑ ΕΜΠΡΟΣΘ.SEAT-VW,16.98,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,SPECIAL,0.00,0.00,0.0,4.0,1,161,GN
876822,53,2024/05/31  ,3% - BRAKE DISC,172303,(NEXT) COMLINE IRELAND LIMITED,ADC1462V,ΔΙΣΚΟΠΛΑΚΑ ΕΜΠΡΟΣΘ.SEAT-VW,16.98,2.00,0.0,1,0.0,1.0,0,51123|1,0,,,0.0,IE0209001,,SPECIAL,0.00,0.00,0.0,4.0,1,161,GN
901125,81,2024/10/30  ,BRAKE DISC,202603,(NEXT) COMLINE IRELAND LIMITED,ADC2303V,ΔΙΣΚΟΠΛΑΚΑ ΕΜΠΡΟΣΘIA CHRYSLER-JEEP,22.98,4.00,0.0,4,0.0,0.0,0,,0,,,0.0,IE0209001,ADC2303VSP,V-SLOW,21.00,0.00,0.0,4.0,1,161,TL
882671,24,2024/07/04  ,BRAKE DISC,179003,(NEXT) COMLINE IRELAND LIMITED,ADC0245V,ΔΙΣΚΟΠΛΑΚΑ ΟΠΙΣΘ. NISSAN,21.45,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,,OBS,0.00,0.00,0.0,8.0,1,161,CAP
853552,45,2024/04/01  ,NON EUR1 BRAKE DISC,144608,(NEXT) COMLINE IRELAND LIMITED,ADC0245V,ΔΙΣΚΟΠΛΑΚΑ ΟΠΙΣΘ. NISSAN,20.68,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,,OBS,0.00,0.00,0.0,8.0,1,161,CAP
911856,69,2025/01/10  ,BRAKE DISC,214602,(NEXT) COMLINE IRELAND LIMITED,ADC1424,ΔΙΣΚΟΠΛΑΚΑ ΟΠΙΣΘ. VW - SEAT,13.8,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,,OBS,1.00,0.00,0.0,6.0,1,161,GN
906532,59,2024/12/02  ,BRAKE DISC,208204,(NEXT) COMLINE IRELAND LIMITED,ADC1519V,ΕΠΙΧΡΙΣΜΕΝΗ ΔΙΣΚΟΠΛΑΚΑ ΕΜΠP. CITROEN - PEUGEOT,16.18,12.00,0.0,12,0.0,0.0,0,,0,,,0.0,IE0209001,,FAST,128.00,213.00,4.0,12.0,1,161,TL
