rec/id,date,description,document/no,company/name,part/number,unit/price,qty,backorder,priority/code,current/stock,prsypappsec,sales/orders,sales-back/order,customer/total/bo/qty,actual/stock,total/number/bo,index/part/number,purchase/order/quantity,eta,total/po/qty,total/number/of/po,final/po/qty,release,difference,balance/actual/stock,note
895014.0,24-09-2024,TUR STSUP,194710.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,5.01,2.0,2.0,V-SLOW,0.0,0.0,0.0,17.0,14.0,0.0,4.0,CSL51281,20.0,20-02-2025,20.0,1.0,20.0,0.0,-3.0,-14.0,done
900952.0,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,5.01,2.0,2.0,V-SLOW,0.0,0.0,0.0,17.0,14.0,0.0,4.0,CSL51281,20.0,20-02-2025,20.0,1.0,20.0,0.0,-3.0,-14.0,done
904670.0,19-11-2024,TUR STSUP,206311.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,5.01,4.0,4.0,V-SLOW,0.0,0.0,0.0,17.0,14.0,0.0,4.0,CSL51281,20.0,20-02-2025,20.0,1.0,20.0,0.0,-3.0,-14.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,5.01,6.0,6.0,V-SLOW,0.0,0.0,0.0,17.0,14.0,0.0,4.0,CSL51281,20.0,20-02-2025,20.0,1.0,20.0,0.0,-3.0,-14.0,done
900952.0,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CSL6128,5.01,4.0,4.0,V-SLOW,0.0,0.0,0.0,7.0,4.0,0.0,1.0,CSL61281,20.0,20-02-2025,20.0,1.0,20.0,0.0,-3.0,-4.0,done
902091.0,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL7145,5.58,8.0,8.0,SLOW,0.0,0.0,0.0,28.0,16.0,0.0,2.0,CSL71451,10.0,26-02-2025,70.0,3.0,10.0,0.0,-12.0,-16.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL7145,5.58,8.0,8.0,SLOW,0.0,0.0,0.0,28.0,16.0,0.0,2.0,CSL71451,10.0,26-02-2025,70.0,3.0,10.0,0.0,-12.0,-16.0,done
902091.0,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL7302,5.79,4.0,1.0,V-SLOW,3.0,0.0,0.0,1.0,1.0,3.0,1.0,CSL73021,1.0,26-02-2025,6.0,2.0,1.0,,0.0,2.0,back/order/qty
904670.0,19-11-2024,TUR STSUP,206311.0,(GAZ) COMLINE IRELAND LIMITED,CSL7076,4.21,4.0,4.0,MED,0.0,0.0,0.0,43.0,10.0,0.0,2.0,CSL70761,70.0,20-02-2025,70.0,1.0,70.0,0.0,-33.0,-10.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL7076,4.21,6.0,6.0,MED,0.0,0.0,0.0,43.0,10.0,0.0,2.0,CSL70761,70.0,20-02-2025,70.0,1.0,70.0,0.0,-33.0,-10.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5063,6.72,7.0,7.0,V-SLOW,0.0,0.0,0.0,32.0,14.0,0.0,3.0,CSL50631,20.0,20-02-2025,40.0,2.0,20.0,0.0,-18.0,-14.0,done
907028.0,03-12-2024,TUR STSUP,209112.0,(GAZ) COMLINE IRELAND LIMITED,CSL5063,6.72,2.0,2.0,V-SLOW,0.0,0.0,0.0,32.0,14.0,0.0,3.0,CSL50631,20.0,20-02-2025,40.0,2.0,20.0,0.0,-18.0,-14.0,done
902091.0,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL5063,6.72,5.0,5.0,V-SLOW,0.0,0.0,0.0,32.0,14.0,0.0,3.0,CSL50631,20.0,20-02-2025,40.0,2.0,20.0,0.0,-18.0,-14.0,done
907028.0,03-12-2024,TUR STSUP,209112.0,(GAZ) COMLINE IRELAND LIMITED,CSL5000,5.17,9.0,9.0,SLOW,0.0,0.0,0.0,51.0,28.0,0.0,3.0,CSL50001,30.0,20-02-2025,30.0,1.0,30.0,0.0,-23.0,-28.0,done
904670.0,19-11-2024,TUR STSUP,206311.0,(GAZ) COMLINE IRELAND LIMITED,CSL5000,5.17,1.0,1.0,SLOW,0.0,0.0,0.0,51.0,28.0,0.0,3.0,CSL50001,30.0,20-02-2025,30.0,1.0,30.0,0.0,-23.0,-28.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5000,5.17,18.0,18.0,SLOW,0.0,0.0,0.0,51.0,28.0,0.0,3.0,CSL50001,30.0,20-02-2025,30.0,1.0,30.0,0.0,-23.0,-28.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5052,5.32,14.0,14.0,MED,0.0,0.0,0.0,107.0,24.0,0.0,4.0,CSL50521,20.0,18-03-2025,40.0,2.0,20.0,0.0,-83.0,-24.0,done
907028.0,03-12-2024,TUR STSUP,209112.0,(GAZ) COMLINE IRELAND LIMITED,CSL5052,5.32,1.0,1.0,MED,0.0,0.0,0.0,107.0,24.0,0.0,4.0,CSL50521,20.0,18-03-2025,40.0,2.0,20.0,0.0,-83.0,-24.0,done
902091.0,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL5052,5.32,6.0,6.0,MED,0.0,0.0,0.0,107.0,24.0,0.0,4.0,CSL50521,20.0,18-03-2025,40.0,2.0,20.0,0.0,-83.0,-24.0,done
900952.0,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CSL5052,5.32,3.0,3.0,MED,0.0,0.0,0.0,107.0,24.0,0.0,4.0,CSL50521,20.0,18-03-2025,40.0,2.0,20.0,0.0,-83.0,-24.0,done
900952.0,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CSL6052,5.32,4.0,4.0,MED,0.0,0.0,0.0,120.0,25.0,0.0,3.0,CSL60521,90.0,20-02-2025,90.0,1.0,90.0,0.0,-95.0,-25.0,done
902091.0,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL6052,5.32,10.0,10.0,MED,0.0,0.0,0.0,120.0,25.0,0.0,3.0,CSL60521,90.0,20-02-2025,90.0,1.0,90.0,0.0,-95.0,-25.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL6052,5.32,11.0,11.0,MED,0.0,0.0,0.0,120.0,25.0,0.0,3.0,CSL60521,90.0,20-02-2025,90.0,1.0,90.0,0.0,-95.0,-25.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL7181,6.4,2.0,2.0,V-SLOW,5.0,0.0,0.0,2.0,2.0,5.0,1.0,CSL71811,,,,,,,0.0,3.0,back/order/qty
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5018,5.54,5.0,1.0,V-SLOW,1.0,0.0,0.0,1.0,1.0,1.0,1.0,CSL50181,3.0,07-02-2025,13.0,2.0,3.0,,0.0,0.0,back/order/qty
907028.0,03-12-2024,TUR STSUP,209112.0,(GAZ) COMLINE IRELAND LIMITED,CTRE2189,5.1,2.0,1.0,V-SLOW,8.0,0.0,0.0,1.0,1.0,8.0,1.0,CTRE21891,,,,,,,0.0,7.0,back/order/qty
884787.0,16-07-2024,TUR STSUP,181211.0,(GAZ) COMLINE IRELAND LIMITED,CTR3212,6.72,2.0,1.0,SPECIAL,0.0,0.0,0.0,3.0,1.0,0.0,1.0,CTR32121,,,,,,0.0,-2.0,-1.0,done
887254.0,30-07-2024,TUR STSUP,183813.0,(GAZ) COMLINE IRELAND LIMITED,CTRE1168,8.45,1.0,1.0,SPECIAL,0.0,0.0,0.0,2.0,1.0,0.0,1.0,CTRE11681,,,,,,0.0,-1.0,-1.0,done
