REC ID,DATE,DESCRIPTION,DOCUMENT NO,COMPANY NAME,PART NUMBER,UNIT PRICE,QTY,PRIORITY CODE,PRSYPAPPSEC,CURRENT STOCK,SALES ORDERS,BACKORDER,CUSTOMER TOTAL BO QTY,SALES-BACK ORDER,ACTUAL STOCK,ETA,FINAL PO QTY,NUMBER OF DAYS ETA,RELEASE,NOTE
895014.0,24-09-2024,TUR STSUP,194710.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,5.01,2.0,V-SLOW,0.0,0.0,0.0,2.0,14.0,17.0,0.0,2025-02-20,20.0,18.0,0.0,done
900952.0,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,5.01,2.0,V-SLOW,0.0,0.0,0.0,2.0,14.0,17.0,0.0,2025-02-20,20.0,18.0,0.0,done
904670.0,19-11-2024,TUR STSUP,206311.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,5.01,4.0,V-SLOW,0.0,0.0,0.0,4.0,14.0,17.0,0.0,2025-02-20,20.0,18.0,0.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,5.01,6.0,V-SLOW,0.0,0.0,0.0,6.0,14.0,17.0,0.0,2025-02-20,20.0,18.0,0.0,done
900952.0,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CSL6128,5.01,4.0,V-SLOW,0.0,0.0,0.0,4.0,4.0,7.0,0.0,2025-02-20,20.0,18.0,0.0,done
902091.0,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL7145,5.58,8.0,SLOW,0.0,0.0,0.0,8.0,16.0,28.0,0.0,2025-02-26,10.0,24.0,0.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL7145,5.58,8.0,SLOW,0.0,0.0,0.0,8.0,16.0,28.0,0.0,2025-02-26,10.0,24.0,0.0,done
902091.0,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL7302,5.79,4.0,V-SLOW,0.0,3.0,0.0,1.0,1.0,1.0,3.0,2025-02-26,1.0,24.0,1.0,back/order/qty
904670.0,19-11-2024,TUR STSUP,206311.0,(GAZ) COMLINE IRELAND LIMITED,CSL7076,4.21,4.0,MED,0.0,0.0,0.0,4.0,10.0,43.0,0.0,2025-02-20,70.0,18.0,0.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL7076,4.21,6.0,MED,0.0,0.0,0.0,6.0,10.0,43.0,0.0,2025-02-20,70.0,18.0,0.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5063,6.72,7.0,V-SLOW,0.0,0.0,0.0,7.0,14.0,32.0,0.0,2025-02-20,20.0,18.0,0.0,done
907028.0,03-12-2024,TUR STSUP,209112.0,(GAZ) COMLINE IRELAND LIMITED,CSL5063,6.72,2.0,V-SLOW,0.0,0.0,0.0,2.0,14.0,32.0,0.0,2025-02-20,20.0,18.0,0.0,done
902091.0,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL5063,6.72,5.0,V-SLOW,0.0,0.0,0.0,5.0,14.0,32.0,0.0,2025-02-20,20.0,18.0,0.0,done
907028.0,03-12-2024,TUR STSUP,209112.0,(GAZ) COMLINE IRELAND LIMITED,CSL5000,5.17,9.0,SLOW,0.0,0.0,0.0,9.0,28.0,51.0,0.0,2025-02-20,30.0,18.0,0.0,done
904670.0,19-11-2024,TUR STSUP,206311.0,(GAZ) COMLINE IRELAND LIMITED,CSL5000,5.17,1.0,SLOW,0.0,0.0,0.0,1.0,28.0,51.0,0.0,2025-02-20,30.0,18.0,0.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5000,5.17,18.0,SLOW,0.0,0.0,0.0,18.0,28.0,51.0,0.0,2025-02-20,30.0,18.0,0.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5052,5.32,14.0,MED,0.0,0.0,0.0,14.0,24.0,107.0,0.0,2025-03-18,20.0,44.0,0.0,done
907028.0,03-12-2024,TUR STSUP,209112.0,(GAZ) COMLINE IRELAND LIMITED,CSL5052,5.32,1.0,MED,0.0,0.0,0.0,1.0,24.0,107.0,0.0,2025-03-18,20.0,44.0,0.0,done
902091.0,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL5052,5.32,6.0,MED,0.0,0.0,0.0,6.0,24.0,107.0,0.0,2025-03-18,20.0,44.0,0.0,done
900952.0,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CSL5052,5.32,3.0,MED,0.0,0.0,0.0,3.0,24.0,107.0,0.0,2025-03-18,20.0,44.0,0.0,done
900952.0,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CSL6052,5.32,4.0,MED,0.0,0.0,0.0,4.0,25.0,120.0,0.0,2025-02-20,90.0,18.0,0.0,done
902091.0,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL6052,5.32,10.0,MED,0.0,0.0,0.0,10.0,25.0,120.0,0.0,2025-02-20,90.0,18.0,0.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL6052,5.32,11.0,MED,0.0,0.0,0.0,11.0,25.0,120.0,0.0,2025-02-20,90.0,18.0,0.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL7181,6.4,2.0,V-SLOW,0.0,5.0,0.0,2.0,2.0,2.0,5.0,,,,2.0,back/order/qty
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5018,5.54,5.0,V-SLOW,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2025-02-07,3.0,5.0,1.0,back/order/qty
907028.0,03-12-2024,TUR STSUP,209112.0,(GAZ) COMLINE IRELAND LIMITED,CTRE2189,5.1,2.0,V-SLOW,0.0,8.0,0.0,1.0,1.0,1.0,8.0,,,,1.0,back/order/qty
884787.0,16-07-2024,TUR STSUP,181211.0,(GAZ) COMLINE IRELAND LIMITED,CTR3212,6.72,2.0,SPECIAL,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,0.0,done
887254.0,30-07-2024,TUR STSUP,183813.0,(GAZ) COMLINE IRELAND LIMITED,CTRE1168,8.45,1.0,SPECIAL,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,0.0,done
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CTR2084,6.1,3.0,SPECIAL,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2025-02-07,1.0,5.0,1.0,back/order/qty
900952.0,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CTR2068,5.76,4.0,V-SLOW,0.0,7.0,1.0,1.0,1.0,1.0,6.0,2025-02-05,2.0,3.0,1.0,back/order/qty
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CTRE1127,8.24,5.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2025-02-07,5.0,5.0,0.0,done
902075.0,05-11-2024,EUR1 BRAKE PAD + WATER PUMP,203401.0,(GAZ) COMLINE IRELAND LIMITED,EWP081,12.77,2.0,OBS,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,,,2.0,back/order/qty
