site1,part/number,site2,document/type,purchase/order/number,indication,supplier,first/qty,purchase/order/quantity,created/date,eta,total/po/qty,total/number/of/po,eta/status,final/po/qty,index/part/number
GREECE,ADB01010,GREECE,Purchase Order,144949,O,IBERICA,1,1,21-01-2025,26-02-2025,1,1,1,1,ADB010101
GREECE,ADB01023,GREECE,Purchase Order,144908,O,ZAACO,89,54,09-12-2024,26-03-2025,108,2,1,54,ADB010231
GREECE,ADB01023,GREECE,Purchase Order,144934,O,ZAACO,136,54,06-01-2025,06-05-2025,108,2,2,54,ADB010232
GREECE,ADB01026,GREECE,Purchase Order,CEO20447-144941,O,CAP,8,9,13-01-2025,07-02-2025,12,2,1,9,ADB010261
GREECE,ADB01026,GREECE,Purchase Order,CEO20495-144954b,O,CAP,1,3,23-01-2025,14-02-2025,12,2,2,3,ADB010262
GREECE,ADB01033,GREECE,Purchase Order,144908,O,ZAACO,22,99,09-12-2024,26-03-2025,225,2,1,99,ADB010331
GREECE,ADB01033,GREECE,Purchase Order,144934,O,ZAACO,23,126,06-01-2025,06-05-2025,225,2,2,126,ADB010332
GREECE,ADB01034,GREECE,Purchase Order,CEO20495-144954b,O,CAP,2,4,23-01-2025,14-02-2025,40,2,1,4,ADB010341
GREECE,ADB01034,GREECE,Purchase Order,144759 BO,O,ANL,104,36,12-08-2024,17-02-2025,40,2,2,36,ADB010342
GREECE,ADB01039,GREECE,Purchase Order,CEO20493-144953,O,CAP,1,5,23-01-2025,14-02-2025,5,1,1,5,ADB010391
GREECE,ADB01042,GREECE,Purchase Order,144759 BO,O,ANL,16,27,12-08-2024,17-02-2025,27,1,1,27,ADB010421
GREECE,ADB01078,GREECE,Purchase Order,CSO492875_REPLEN,O,CAP,1,2,23-01-2025,07-02-2025,12,4,1,2,ADB010781
GREECE,ADB01078,GREECE,Purchase Order,144757 BOIII,O,IBERICA,1,4,09-08-2024,26-02-2025,12,4,2,10,ADB010782
GREECE,ADB01078,GREECE,Purchase Order,144800 BO,O,IBERICA,1,2,17-09-2024,26-02-2025,12,4,3,10,ADB010783
GREECE,ADB01078,GREECE,Purchase Order,144844 BO,O,IBERICA,1,4,21-10-2024,26-02-2025,12,4,4,10,ADB010784
GREECE,ADB01087,GREECE,Purchase Order,144759 BO,O,ANL,39,36,12-08-2024,17-02-2025,36,1,1,36,ADB010871
GREECE,ADB01096,GREECE,Purchase Order,144883 BO,O,IBERICA,1,3,21-11-2024,26-02-2025,3,1,1,3,ADB010961
