standardcode,partnumber,customercode,customername,targetdate,status,2023-customer-sales,2024-customer-sales,number-of-customer-target,number-of-part-number-target,sales-after-target,total-sales-after-first-target
ADC0553VA Psaltis + Sotiris,ADC0553V,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted,6,18,1,1,,
ADC0923VA Psaltis + Sotiris,ADC0923V,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted,14,40,1,1,,
ADC1626VA Psaltis + Sotiris,ADC1626V,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered,2,18,1,1,,
ADC1645VA Psaltis + Sotiris,ADC1645V,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered,0,12,1,2,,
ADC2727VA Psaltis + Sotiris,ADC2727V,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered,0,4,1,5,,
ADC2732A Psaltis + Sotiris,ADC2732,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted,0,18,1,1,,
CHN12860A Psaltis + Sotiris,CHN12860,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered,60,130,1,1,,
EAF745A Psaltis + Sotiris,EAF745,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered,388,254,1,2,,
EAF807A Psaltis + Sotiris,EAF807,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted,94,152,1,1,,
EAF813A Psaltis + Sotiris,EAF813,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered,150,200,1,3,,
EAF848A Psaltis + Sotiris,EAF848,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered,588,760,1,4,,
EKF191A Psaltis + Sotiris,EKF191,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted,10,560,1,2,,
EKF203A Psaltis + Sotiris,EKF203,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered,20,131,1,4,,
EKF206AA Psaltis + Sotiris,EKF206A,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered,0,10,1,1,,
EKF408A Psaltis + Sotiris,EKF408,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered,17,52,1,1,,
ADB02864A Psaltis + Sotiris,ADB02864,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted,4,2,1,1,,
ADC1449VSKEXIM,ADC1449V,SKEXIM,SK Exim,08-01-2024,Best Offered,0,0,1,3,,
ADC1499SKEXIM,ADC1499,SKEXIM,SK Exim,08-01-2024,Best Offered,0,0,1,4,,
ADC1718VSKEXIM,ADC1718V,SKEXIM,SK Exim,08-01-2024,Best Offered,0,0,1,2,,
ADC1762VSKEXIM,ADC1762V,SKEXIM,SK Exim,08-01-2024,Best Offered,0,0,1,1,,
ADC1779VSKEXIM,ADC1779V,SKEXIM,SK Exim,08-01-2024,Best Offered,0,0,1,1,,
ADC1780VSKEXIM,ADC1780V,SKEXIM,SK Exim,08-01-2024,Best Offered,0,0,1,1,,
ADC2803VSKEXIM,ADC2803V,SKEXIM,SK Exim,08-01-2024,Best Offered,0,6,2,2,,
ADC2804VSKEXIM,ADC2804V,SKEXIM,SK Exim,08-01-2024,Best Offered,0,6,2,4,,
CHN11675SKEXIM,CHN11675,SKEXIM,SK Exim,08-01-2024,No Discount,120,220,2,2,,
EAF501SKEXIM,EAF501,SKEXIM,SK Exim,08-01-2024,No Discount,30,216,2,3,,
EAF813SKEXIM,EAF813,SKEXIM,SK Exim,08-01-2024,No Discount,20,102,2,3,,
EAF818SKEXIM,EAF818,SKEXIM,SK Exim,08-01-2024,Best Offered,30,151,2,2,,
EAF909SKEXIM,EAF909,SKEXIM,SK Exim,08-01-2024,Best Offered,20,66,2,2,,
EAF957SKEXIM,EAF957,SKEXIM,SK Exim,08-01-2024,No Discount,20,36,1,2,,
EFF207SKEXIM,EFF207,SKEXIM,SK Exim,08-01-2024,No Discount,10,6,1,1,,
EFF260SKEXIM,EFF260,SKEXIM,SK Exim,08-01-2024,No Discount,0,6,1,1,,
EFF313DSKEXIM,EFF313D,SKEXIM,SK Exim,08-01-2024,Best Offered,0,6,1,1,,
EKF323ASKEXIM,EKF323A,SKEXIM,SK Exim,08-01-2024,No Discount,20,84,2,2,,
EKF328ASKEXIM,EKF328A,SKEXIM,SK Exim,08-01-2024,No Discount,6,150,2,3,,
EKF388ASKEXIM,EKF388A,SKEXIM,SK Exim,08-01-2024,No Discount,30,108,2,2,,
EKF400SKEXIM,EKF400,SKEXIM,SK Exim,08-01-2024,Best Offered,12,99,2,2,,
EKF419ASKEXIM,EKF419A,SKEXIM,SK Exim,08-01-2024,No Discount,24,48,1,1,,
EKF436ASKEXIM,EKF436A,SKEXIM,SK Exim,08-01-2024,Best Offered,5,32,1,1,,
EOF236SKEXIM,EOF236,SKEXIM,SK Exim,08-01-2024,No Discount,200,1008,2,3,,
EOF242SKEXIM,EOF242,SKEXIM,SK Exim,08-01-2024,Best Offered,6,50,2,2,,
EOF261SKEXIM,EOF261,SKEXIM,SK Exim,08-01-2024,No Discount,24,180,2,3,,
EOF294SKEXIM,EOF294,SKEXIM,SK Exim,08-01-2024,Best Offered,50,150,2,2,,
CBP01613SKEXIM,CBP01613,SKEXIM,SK Exim,08-01-2024,Best Offered,2,24,1,1,,
CBP01712SKEXIM,CBP01712,SKEXIM,SK Exim,08-01-2024,Best Offered,2,10,1,1,,
CBP02126SKEXIM,CBP02126,SKEXIM,SK Exim,08-01-2024,Best Offered,0,10,1,1,,
CBP02131SKEXIM,CBP02131,SKEXIM,SK Exim,08-01-2024,Best Offered,5,25,1,1,,
CBP02149SKEXIM,CBP02149,SKEXIM,SK Exim,08-01-2024,Best Offered,5,35,1,3,,
CBP02156SKEXIM,CBP02156,SKEXIM,SK Exim,08-01-2024,Best Offered,9,40,1,2,,
CBP02220SKEXIM,CBP02220,SKEXIM,SK Exim,08-01-2024,Best Offered,0,15,1,1,,
CBP02295SKEXIM,CBP02295,SKEXIM,SK Exim,08-01-2024,Best Offered,0,10,1,1,,
CBP02318SKEXIM,CBP02318,SKEXIM,SK Exim,08-01-2024,Best Offered,0,20,1,2,,
CBP02319SKEXIM,CBP02319,SKEXIM,SK Exim,08-01-2024,Best Offered,0,18,1,1,,
CBP02345SKEXIM,CBP02345,SKEXIM,SK Exim,08-01-2024,Best Offered,0,20,1,1,,
CBP02346SKEXIM,CBP02346,SKEXIM,SK Exim,08-01-2024,Best Offered,4,10,1,2,,
CBP06003SKEXIM,CBP06003,SKEXIM,SK Exim,08-01-2024,Best Offered,0,10,1,1,,
CBP06092SKEXIM,CBP06092,SKEXIM,SK Exim,08-01-2024,Best Offered,5,35,1,1,,
CBP11224SKEXIM,CBP11224,SKEXIM,SK Exim,08-01-2024,Best Offered,0,16,1,1,,
CBP12158SKEXIM,CBP12158,SKEXIM,SK Exim,08-01-2024,Best Offered,9,45,1,1,,
CBP16022SKEXIM,CBP16022,SKEXIM,SK Exim,08-01-2024,Best Offered,2,20,1,2,,
EKF460ASKEXIM,EKF460A,SKEXIM,SK Exim,08-01-2024,Best Offered,0,12,2,4,,
ADC2515VA Psaltis + Sotiris,ADC2515V,A Psaltis + Sotiris,A Psaltis + Sotiris,16-01-2024,Best Offered,0,16,1,4,,
ADC2724A Psaltis + Sotiris,ADC2724,A Psaltis + Sotiris,A Psaltis + Sotiris,16-01-2024,Best Offered,0,16,1,4,,
CTY12147A Psaltis + Sotiris,CTY12147,A Psaltis + Sotiris,A Psaltis + Sotiris,16-01-2024,Best Offered,0,60,1,1,,
CTY12188A Psaltis + Sotiris,CTY12188,A Psaltis + Sotiris,A Psaltis + Sotiris,16-01-2024,Best Offered,0,122,1,1,,
EAF782A Psaltis + Sotiris,EAF782,A Psaltis + Sotiris,A Psaltis + Sotiris,16-01-2024,Best Offered,0,15,1,1,,
