standardcode,partnumber,customercode,customername,targetdate,status
ADC0553VA Psaltis + Sotiris,ADC0553V,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted
ADC0923VA Psaltis + Sotiris,ADC0923V,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted
ADC1626VA Psaltis + Sotiris,ADC1626V,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered
ADC1645VA Psaltis + Sotiris,ADC1645V,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered
ADC2727VA Psaltis + Sotiris,ADC2727V,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered
ADC2732A Psaltis + Sotiris,ADC2732,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted
CHN12860A Psaltis + Sotiris,CHN12860,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered
EAF745A Psaltis + Sotiris,EAF745,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered
EAF807A Psaltis + Sotiris,EAF807,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted
EAF813A Psaltis + Sotiris,EAF813,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered
EAF848A Psaltis + Sotiris,EAF848,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered
EKF191A Psaltis + Sotiris,EKF191,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted
EKF203A Psaltis + Sotiris,EKF203,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered
EKF206AA Psaltis + Sotiris,EKF206A,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered
EKF408A Psaltis + Sotiris,EKF408,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Best Offered
ADB02864A Psaltis + Sotiris,ADB02864,A Psaltis + Sotiris,A Psaltis + Sotiris,08-01-2024,Target Accepted
ADC1449VSKEXIM,ADC1449V,SKEXIM,SK Exim,08-01-2024,Best Offered
ADC1499SKEXIM,ADC1499,SKEXIM,SK Exim,08-01-2024,Best Offered
ADC1718VSKEXIM,ADC1718V,SKEXIM,SK Exim,08-01-2024,Best Offered
ADC1762VSKEXIM,ADC1762V,SKEXIM,SK Exim,08-01-2024,Best Offered
ADC1779VSKEXIM,ADC1779V,SKEXIM,SK Exim,08-01-2024,Best Offered
ADC1780VSKEXIM,ADC1780V,SKEXIM,SK Exim,08-01-2024,Best Offered
ADC2803VSKEXIM,ADC2803V,SKEXIM,SK Exim,08-01-2024,Best Offered
ADC2804VSKEXIM,ADC2804V,SKEXIM,SK Exim,08-01-2024,Best Offered
CHN11675SKEXIM,CHN11675,SKEXIM,SK Exim,08-01-2024,No Discount
EAF501SKEXIM,EAF501,SKEXIM,SK Exim,08-01-2024,No Discount
EAF813SKEXIM,EAF813,SKEXIM,SK Exim,08-01-2024,No Discount
EAF818SKEXIM,EAF818,SKEXIM,SK Exim,08-01-2024,Best Offered
EAF909SKEXIM,EAF909,SKEXIM,SK Exim,08-01-2024,Best Offered
EAF957SKEXIM,EAF957,SKEXIM,SK Exim,08-01-2024,No Discount
EFF207SKEXIM,EFF207,SKEXIM,SK Exim,08-01-2024,No Discount
EFF260SKEXIM,EFF260,SKEXIM,SK Exim,08-01-2024,No Discount
EFF313DSKEXIM,EFF313D,SKEXIM,SK Exim,08-01-2024,Best Offered
EKF323ASKEXIM,EKF323A,SKEXIM,SK Exim,08-01-2024,No Discount
EKF328ASKEXIM,EKF328A,SKEXIM,SK Exim,08-01-2024,No Discount
EKF388ASKEXIM,EKF388A,SKEXIM,SK Exim,08-01-2024,No Discount
EKF400SKEXIM,EKF400,SKEXIM,SK Exim,08-01-2024,Best Offered
