Part Number,Total Sales After Target
VFA842,4800
EOF073,3964
CTY11170,3200
EAF1032,2478
EOF236,2052
CMZ11414,1634
EOF249,1442
EKF185,1350
EOF337,1341
EKF422A,1262
ADB22214,1194
EAF858,1119
LVXL177,1004
LVEB499,1000
CMB12399,960
LVFL751,906
EAF977,902
EAF764,880
EOF005,833
EAF848,822
LVCF587,818
EOF265,800
CSL7041,786
VFL486,700
CTY12190,654
CMB11341,633
EKF185A,630
EAF966,610
VFA1058,600
EKF415,600
LVBW1226,600
EKF118A,595
LVFF776,594
ADB02143,576
EKF191,570
CHY11001,520
EKF184,506
EAF991,495
VFF542,488
VSL693,462
EAF783,458
EKF151,444
LVXL1313,444
CHN11675,440
EAF1005,438
EAF501,432
LVFL800,430
VFL332,405
EAF813,404
LVBW1646,400
EKF376A,392
EOF261,391
EAF849,373
CMZ11431,369
EFF149,355
EAF780,350
EOF263,350
EFF235,330
CSL7002,326
EKF170,322
VFL305,305
EKF328A,305
LVBW1004,302
EAF818,302
EAF714,301
EOF280,300
EOF294,300
EKF126,300
VFL481,300
EAF745,294
CIZ12015,285
VSL890,280
EOF195,280
VBU501,280
CRB3015,265
CBC001L,264
CBC001R,256
ADB01552,252
LVCF511,250
CBP36083,239
CTY12230,223
VFF555,220
VFL521,220
EKF388A,216
VFL545,212
LVCF609,210
VFL518,210
VOL184,206
ECK020F,202
CSL7016,202
CRB3013,202
VFA1071,200
CDH11631,200
CTY11110,200
LVXL257,200
LVFL761,200
EAF402,200
LVFL775,200
LVCF579,200
LVFL759,200
CMZ12680,200
EKF400,198
LVFF702,187
EOF254,186
VFL555,182
EFF354D,181
LVBW726,180
EFF135,180
EFF193,180
EFF196,180
VFL438,172
EKF203,171
CSL7020,170
LVBW710,170
EAF1018,170
EKF323A,168
CBP31551,164
LVFF695,162
EKF101,162
EAF1007,161
VCF212,161
CBJ7001,160
EAF853,160
EOF304,156
EOF285,156
LVSA1146,156
CTY11141,154
EAF807,152
CSL7008,150
EKF304A,150
LVCF570,150
LVBW503,148
CSL7003,145
CTR3013,144
EFF229,144
EAF546,144
EKF370-2,143
LVBW15,140
VFL287,135
CSL7027,133
EAF909,132
EAF1017,131
CNS13017,130
CHN12860,130
CRB3014,126
CTR3010,126
CBJ7011,125
EAF1011,125
CTR3011,124
CTY12188,122
EFF305D,121
VFF307,121
LVBW229,120
LVSA1145,120
EAF829,120
CBC041L,119
CBC009R,119
EKF220A,117
EFF322D,115
CTR3017,114
VFA744,113
CTR2004,112
CSL7250,111
CTR3003,110
CSL7004,110
CSL7028,110
CHA077,110
CBC004R,109
ECK228F,108
LVBW1723,108
EKF246A,108
VOL304,108
CBC009L,106
EAF1025,106
VFF429,106
EAF920,105
EFF278D,105
CBC041R,104
VFL505,103
EAF560,103
CTR2000,103
EAF938,103
CNS13017DV,102
EKF404,101
EAF838,100
VBU472,100
VFF422,100
LVEB380,100
LVEB382,100
LVFF720,100
EKF344,100
CTR2043,100
EOF262,100
LVCF595,100
EOF242,100
EOF023,100
VSP425,100
CHA050,100
CBJ5001,100
CBJ7005,98
CBC003R,96
CTR1000,96
CTR1043,95
EFF256,95
LVCF536,95
EAF937,94
EKF460A,94
CBC003L,94
ADC1499,94
CBJ6000,92
CBJ5000,91
VFA1080,90
ADB02199,90
VSL711,89
VBC154L,89
CBC004L,88
CCA2003,88
CTR1004,88
LVFF737,88
CBJ7009,87
LVSL1405,86
EFF070,85
LVSM1000,84
LVFF733,84
EAF998,84
VFF354,82
EAF879,82
CBC026R,82
CBJ6001,82
LVCF572,81
CBP32161,81
EAF774,80
LVBW1172,80
EKF199,80
LVCF659,80
VCF222,80
VOL421,79
CSL7055,78
VSL723,78
EFF269,78
CBP01127,78
EAF847,77
CSL7001,76
EKF197A,75
VBC110L,74
EAF259,74
EFF152,73
ADC1518V,72
LVSK841,72
CSL7000,72
ADC2982V,72
CBP32259,72
LVBW839,72
CBP31798,72
CBJ7023,70
CBC026L,70
EAF978,70
VSL944,70
CTR3041,69
EOF347,68
EKF422,68
CBP32016,68
ADC5092V,68
ADC1407V,67
CSL7005,66
LVFL788,65
ADC0477,64
CSL7077,64
CHA048,64
CBJ7042,62
CSL7043,62
CTY12090,62
EFF274D,61
EAF689,61
LVFL822,60
CTY12147,60
EOF238,60
EFF225,60
CBJ7022,58
CBJ7000,57
CBJ7003,57
ADC1414,56
VBC101L,55
VSL664,55
VFF458,55
EFF250D,55
EAF944KIT,55
VSPY7,54
VTR1211,54
EFF279D,53
EAF1013,53
EFF288D,52
EKF408,52
LVCF576,52
CCA1006,52
CHA045,52
CBC012L,52
CBP01598,51
CSL7082,51
EFF375D,51
EKF306,51
CHA014,51
CBJ7002,51
LVCF537,50
VFL524,50
ADC3009,50
CSZ12000,50
ECK011,50
EAF646,50
LVFL803,50
LVFA1503,50
LVFF726,50
CTR2032,50
LVFL752,50
CCA3006,50
LVFL840,50
LVCF510,50
VFF498,50
LVXL1015,50
VFL451,50
LVXL1808,50
LVCF552,50
EKF163A,50
VFF516,50
ADC1497,50
LVCF573,50
LVBD1252Z,50
VFL511,50
VFL541,50
VFL367,50
LVXL530,50
LVSK608,50
CTR1035,50
LVFL804,50
CTR1032,50
LVCF619,50
LVFF691,50
VBC101R,49
LVSA1384,49
VFF562,49
VOL441,48
CSL7119,48
CBJ7012,48
ADC1503,48
EKF419A,48
CBC095R,47
CBJ7093,47
CBP0511,46
CSL7030,46
EAF868,46
CTR2003,46
EAF957,46
LVSJ1076,46
CTR1003,46
ADC01149,46
LVBW1613,45
CBP12158,45
CBJ7075,45
ADC2907V,44
VTR1210,44
CCA2006,44
ADC2727V,44
CBJ7060,43
ADB32419,43
LVSA1410,43
ADC1770V,43
EFF192,43
CBJ5002,43
CSL7296,43
CTR3018,42
CBC095L,42
VCF148,42
LVBD1546,42
VFL262,42
EOF306,42
LVBW65,42
LVSL1358,41
VFA68,41
VFA1135,40
CBC007L,40
CBC043L,40
LVBW1271,40
CHA042,40
CBJ6002,40
CBC012R,40
LVSA1382,40
LVBW1061,40
VSP1026,40
EFF344D,40
EFF359D,40
LVXL1006,40
CBP02156,40
VSL732A,40
VSL688A,40
ADC0923V,40
LVBW303,40
VFL370,40
EOF256,40
VFL363,40
LVBW1300,40
LVFA1574,40
LVSL1177,40
LVBW1301,40
CBP31676,40
LVCF621,40
LVBE255,40
CTR1001,39
CTR2035,39
VFA1185,39
VBUH8,39
LVSA1411,39
VSL787,39
CBC043R,38
CBP32023,38
VBC458L,38
CBP36009,38
CBP01719,38
EFF330D,37
CTR3124,37
CHA094,37
CBJ7028,37
VBC173L,37
CTR2001,37
CBP02149,37
VSL742,36
LVSA1381,36
EKF320A,36
ADB01323,36
CTY12187,36
EOF305,36
VSL708A,36
VSL930,36
CBJ7017,36
LVCF520,36
EKF414A,35
ADC1456V,35
CBC007R,35
CBP06092,35
LVCF571,35
CBJ7234,35
LVBD1205Z,35
CTY12072,34
CCA2007,34
VSL737,34
CBJ7007,34
ADC2804V,34
LVXL1789,34
ADC0473V,34
CTR2005,33
EOF325,33
EKF195,33
VTR1171,33
LVSA1377,33
EAF910,33
VBC110R,32
EAF972,32
CTR3042,32
LVFA1722,32
CTR3036,32
VBC154R,32
LVBW1259,32
CBC013L,32
CBC013R,32
EKF436A,32
CBP12106,32
ECK228-SK,32
VBC173R,32
ADC2724,32
CBC074L,32
CBC033R,31
CBC055R,31
CBC055L,31
CBC074R,31
LVTR1701,31
VBC116L,30
EFF280D,30
CBJ7102,30
LVSA1390,30
LVXL1370,30
VSL924,30
EAF1037,30
EAF1052,30
VFL471,30
CHY12255,30
EAF582,30
VSL710A,30
EOF322,30
VSJ957,30
ADC1657V,30
LVFA1575,30
EKF273A,30
ADC4080V,30
EAF837,30
LVXL1425,30
ADB11037,30
LVFF790,30
VBC458R,30
LVXL1878,30
VSL741,30
CBK224,30
VSP692,30
EKF117,30
EFF376D,30
LVXL1213,30
LVFA1505,30
VFF539,30
LVXL1876,30
CBC033L,30
EKF327A,30
LVBD1212Z,30
LVXL1141,30
EFF058,29
VFL186,29
VFF561,29
CRB3017,29
CTR3086,29
LVSL1517,29
CRB3222,29
CNS41170CK,29
VBC144L,29
LVSA1422,29
EFF253,28
CBP32276,28
LVSL1168,28
ADC1431V,28
CBP32529,28
