Part Number,Customer Code,Cumulative Sales After Target Acceptance on Earlier Date,Sales After Target Acceptance,Performance Ratio
LVBW1646,DISPAM,400,3200,8.0
LVBW1723,DISPAM,108,648,6.0
LVBW229,DISPAM,120,720,6.0
LVBW1004,DISPAM,300,1800,6.0
LVBW726,DISPAM,180,1080,6.0
LVBW1226,DISPAM,600,3600,6.0
LVBD1906,AUTOPLSIA,20,100,5.0
LVBW1259,AUTOPLSIA,32,128,4.0
LVBW1256,DISPAM,20,80,4.0
LVBW1587,DISPAM,20,80,4.0
LVBW1724,DISPAM,16,64,4.0
LVBW1170,DISPAM,8,32,4.0
LVFF715,AUTOPLSIA,8,32,4.0
ADC0477,SALOME,64,256,4.0
LVBW1172,DISPAM,80,320,4.0
LVBW1124,DISPAM,20,80,4.0
LVBW1674,DISPAM,4,16,4.0
LVBW15,DISPAM,120,480,4.0
LVBW1061,DISPAM,40,160,4.0
LVBW839,DISPAM,72,288,4.0
LVBW1300,DISPAM,40,160,4.0
CSL7292,KTD,24,76,3.1666666666666665
EWP146,KTD,3,9,3.0
LVBD1212Z,AUTOPLSIA,30,90,3.0
ADC1770V,KTD,33,99,3.0
LVBD1356Z,AUTOPLSIA,12,36,3.0
LVBD1611,AUTOPLSIA,6,18,3.0
CSL7246,KTD,12,36,3.0
EAF1032,ATI,1800,5400,3.0
EOF337,ATI,1200,3300,2.75
ADC1503,KTD,48,108,2.25
CSL7344,KTD,4,8,2.0
CCA2171,AU-TECNA,4,8,2.0
CBP2485,KTD,6,12,2.0
LVSA1910,GMT,2,4,2.0
VFL481,DISPAM,200,400,2.0
VFA1058,DISPAM,400,800,2.0
LVBW1341,DISPAM,16,32,2.0
CTRE1162,KTD,6,12,2.0
CTY11110,ATI,200,400,2.0
VFA1071,DISPAM,200,400,2.0
LVBW1348,DISPAM,8,16,2.0
CCA2237,KTD,2,4,2.0
LVBW1357,DISPAM,12,24,2.0
CTY11170,ATI,3200,6400,2.0
CCA2142,KTD,4,8,2.0
ADC1586,KTD,8,16,2.0
ADC1671V,KTD,12,24,2.0
ADC1465V,KTD,12,24,2.0
LVFL775,DISPAM,200,400,2.0
