Rec ID,Record ID,Date,Description,Document No,Company Name,Part Number,Item description,Unit Price,Qty,Availability,BackOrder,Lost Sales,Closed Qty,Weighed Item,Group,qEnim,Comment,Expected delivery,Balance,Company ID,Third code,Priority code,Current Stock,PrsYpApPSec,Sales Orders,Sales-Back Order,Branch ID,Employee,Supplier
895014,44,2024/09/24  ,TUR STSUP,194710,(GAZ) COMLINE IRELAND LIMITED,CSL5128,ΑΚΡΟ ΖΑΜΦΟΡ  ΕΜΠΡ. ΑΡΙΣΤΕΡΟ CHEVROLET-OPEL,5.01,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,17.00,1,161,AH
900952,38,2024/10/29  ,TUR - STSUP,202312,(GAZ) COMLINE IRELAND LIMITED,CSL5128,ΑΚΡΟ ΖΑΜΦΟΡ  ΕΜΠΡ. ΑΡΙΣΤΕΡΟ CHEVROLET-OPEL,5.01,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,17.00,1,161,AH
904670,29,2024/11/19  ,TUR STSUP,206311,(GAZ) COMLINE IRELAND LIMITED,CSL5128,ΑΚΡΟ ΖΑΜΦΟΡ  ΕΜΠΡ. ΑΡΙΣΤΕΡΟ CHEVROLET-OPEL,5.01,4.00,0.00,4,0.00,0.00,0,,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,17.00,1,161,AH
912670,6,2025/01/16  ,TUR STSUP,215113,(GAZ) COMLINE IRELAND LIMITED,CSL5128,ΑΚΡΟ ΖΑΜΦΟΡ  ΕΜΠΡ. ΑΡΙΣΤΕΡΟ CHEVROLET-OPEL,5.01,6.00,0.00,6,0.00,0.00,0,,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,17.00,1,161,AH
900952,39,2024/10/29  ,TUR - STSUP,202312,(GAZ) COMLINE IRELAND LIMITED,CSL6128,ΑΚΡΟ ΖΑΜΦΟΡ  ΕΜΠΡ. ΔΕΞΙ CHEVROLET-OPEL,5.01,4.00,0.00,4,0.00,0.00,0,,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,7.00,1,161,AH
902091,75,2024/11/05  ,TUR STSUP,203414,(GAZ) COMLINE IRELAND LIMITED,CSL7145,ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. R/L CITROEN,5.58,8.00,0.00,8,0.00,0.00,0,,0,,,0.00,IE0109001,,SLOW,0.00,0.00,0.00,28.00,1,161,AH
912670,17,2025/01/16  ,TUR STSUP,215113,(GAZ) COMLINE IRELAND LIMITED,CSL7145,ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. R/L CITROEN,5.58,8.00,0.00,8,0.00,0.00,0,,0,,,0.00,IE0109001,,SLOW,0.00,0.00,0.00,28.00,1,161,AH
902091,54,2024/11/05  ,TUR STSUP,203414,(GAZ) COMLINE IRELAND LIMITED,CSL7302,ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. R/L JEEP,5.79,4.00,0.00,1,0.00,3.00,0,,0,,,0.00,IE0109001,,V-SLOW,3.00,0.00,0.00,1.00,1,161,IBERICA
904670,38,2024/11/19  ,TUR STSUP,206311,(GAZ) COMLINE IRELAND LIMITED,CSL7076,ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. R/L TOYOTA,4.21,4.00,0.00,4,0.00,0.00,0,,0,,,0.00,IE0109001,,MED,0.00,0.00,0.00,43.00,1,161,AH
912670,11,2025/01/16  ,TUR STSUP,215113,(GAZ) COMLINE IRELAND LIMITED,CSL7076,ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. R/L TOYOTA,4.21,6.00,0.00,6,0.00,0.00,0,,0,,,0.00,IE0109001,,MED,0.00,0.00,0.00,43.00,1,161,AH
912670,5,2025/01/16  ,TUR STSUP,215113,(GAZ) COMLINE IRELAND LIMITED,CSL5063,"ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. ΑΡΙΣΤ, CITROEN - PEUGEOT",6.72,7.00,0.00,7,0.00,0.00,0,,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,32.00,1,161,AH
