 Part Number , Target Date , Customer Name , Customer Code , Status 
ADC0553V,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Target Accepted
ADC0923V,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Target Accepted
ADC1626V,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
ADC1645V,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
ADC2727V,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
ADC2732,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Target Accepted
CHN12860,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
EAF745,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
EAF807,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Target Accepted
EAF813,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
EAF848,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
EKF191,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Target Accepted
EKF203,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
EKF206A,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
EKF408,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
ADB02864,08-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Target Accepted
ADC1449V,08-01-2024,SK Exim,SKEXIM,Best Offered
ADC1499,08-01-2024,SK Exim,SKEXIM,Best Offered
ADC1718V,08-01-2024,SK Exim,SKEXIM,Best Offered
ADC1762V,08-01-2024,SK Exim,SKEXIM,Best Offered
ADC1779V,08-01-2024,SK Exim,SKEXIM,Best Offered
ADC1780V,08-01-2024,SK Exim,SKEXIM,Best Offered
ADC2803V,08-01-2024,SK Exim,SKEXIM,Best Offered
ADC2804V,08-01-2024,SK Exim,SKEXIM,Best Offered
CHN11675,08-01-2024,SK Exim,SKEXIM,No Discount
EAF501,08-01-2024,SK Exim,SKEXIM,No Discount
EAF813,08-01-2024,SK Exim,SKEXIM,No Discount
EAF818,08-01-2024,SK Exim,SKEXIM,Best Offered
EAF909,08-01-2024,SK Exim,SKEXIM,Best Offered
EAF957,08-01-2024,SK Exim,SKEXIM,No Discount
EFF207,08-01-2024,SK Exim,SKEXIM,No Discount
EFF260,08-01-2024,SK Exim,SKEXIM,No Discount
EFF313D,08-01-2024,SK Exim,SKEXIM,Best Offered
EKF323A,08-01-2024,SK Exim,SKEXIM,No Discount
EKF328A,08-01-2024,SK Exim,SKEXIM,No Discount
EKF388A,08-01-2024,SK Exim,SKEXIM,No Discount
EKF400,08-01-2024,SK Exim,SKEXIM,Best Offered
EKF419A,08-01-2024,SK Exim,SKEXIM,No Discount
EKF436A,08-01-2024,SK Exim,SKEXIM,Best Offered
EOF236,08-01-2024,SK Exim,SKEXIM,No Discount
EOF242,08-01-2024,SK Exim,SKEXIM,Best Offered
EOF261,08-01-2024,SK Exim,SKEXIM,No Discount
EOF294,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP01613,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP01712,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP02126,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP02131,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP02149,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP02156,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP02220,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP02295,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP02318,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP02319,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP02345,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP02346,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP06003,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP06092,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP11224,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP12158,08-01-2024,SK Exim,SKEXIM,Best Offered
CBP16022,08-01-2024,SK Exim,SKEXIM,Best Offered
EKF460A,08-01-2024,SK Exim,SKEXIM,Best Offered
ADC2515V,16-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
ADC2724,16-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
CTY12147,16-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
CTY12188,16-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
EAF782,16-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
EAF910,16-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
EAF869,16-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Target Accepted
EAF1007,16-01-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,No Discount
ADC5017V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1767V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC2515V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC2946,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,No Discount
ADC1918V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,No Discount
CCA1493L,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,No Discount
CCA2493R,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,No Discount
CBK321,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1775V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
EAF957,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA1402L,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,No Discount
CCA2402R,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,No Discount
CCA1403L,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA2403R,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC2915V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1240,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC01133V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1761V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1499,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1673V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1670,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1678V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC5049V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1657V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC2612V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC2892,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC2963V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC5055V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1749V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1790VL,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC1791VR,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC5029VL,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC5030VR,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC4075V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC4080V,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CBJ7028,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CBJ7131,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA1405L,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA2405R,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA1476L,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA2476R,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA1470L,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA2470R,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA1397L,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA2397R,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA1410L,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CCA2410R,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CSL7328,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
EAF937,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
EAF848,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CTY12090,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
EAF995,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
EKF460A,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
EFF376D,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
EOF256,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CRB3445,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CBK316,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CHA324,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CBK111,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
EWP372,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
CSL7408,30-01-2024,PIONEER AUTO SPARES,PIONEERAUTO,Best Offered
ADC01155V,30-01-2024,KADIU,KADIU,Best Offered
ADC0277V,30-01-2024,KADIU,KADIU,Best Offered
ADC0279V,30-01-2024,KADIU,KADIU,Best Offered
ADC0289V,30-01-2024,KADIU,KADIU,Target Accepted
ADC0294,30-01-2024,KADIU,KADIU,Target Accepted
ADC0295V,30-01-2024,KADIU,KADIU,Best Offered
ADC1158V,30-01-2024,KADIU,KADIU,Best Offered
ADC1274,30-01-2024,KADIU,KADIU,Best Offered
ADC1277V,30-01-2024,KADIU,KADIU,Best Offered
ADC1279V,30-01-2024,KADIU,KADIU,Best Offered
ADC1282V,30-01-2024,KADIU,KADIU,Best Offered
ADC1285V,30-01-2024,KADIU,KADIU,Best Offered
